#Archive/File	Name	Time	Size	Type
Archive	GSE12679_RAW.tar	01/17/2013 14:11:53	240936960	TAR
File	GSM318410.CEL.gz	09/05/2008 13:53:59	7083634	CEL
File	GSM318411.CEL.gz	09/05/2008 13:54:05	6897961	CEL
File	GSM318412.CEL.gz	09/05/2008 13:54:11	6745236	CEL
File	GSM318413.CEL.gz	09/05/2008 13:54:17	6705829	CEL
File	GSM318414.CEL.gz	09/05/2008 13:54:24	7551655	CEL
File	GSM318415.CEL.gz	09/05/2008 13:54:31	7965859	CEL
File	GSM318416.CEL.gz	09/05/2008 13:54:38	7717515	CEL
File	GSM318417.CEL.gz	09/05/2008 13:54:45	7510887	CEL
File	GSM318418.CEL.gz	09/05/2008 13:54:52	7832036	CEL
File	GSM318419.CEL.gz	09/05/2008 13:54:59	7475056	CEL
File	GSM318420.CEL.gz	09/05/2008 13:55:06	7449729	CEL
File	GSM318421.CEL.gz	09/05/2008 13:55:13	7999373	CEL
File	GSM318422.CEL.gz	09/05/2008 13:55:21	7650633	CEL
File	GSM318423.CEL.gz	09/05/2008 13:55:28	7464040	CEL
File	GSM318424.CEL.gz	09/05/2008 13:55:35	7560418	CEL
File	GSM318425.CEL.gz	09/05/2008 14:15:51	7714724	CEL
File	GSM318426.CEL.gz	09/05/2008 14:15:58	7366785	CEL
File	GSM318427.CEL.gz	09/05/2008 14:16:05	7262200	CEL
File	GSM318428.CEL.gz	09/05/2008 14:16:12	7170545	CEL
File	GSM318429.CEL.gz	09/05/2008 14:16:18	7609238	CEL
File	GSM318430.CEL.gz	09/05/2008 13:55:42	7424428	CEL
File	GSM318431.CEL.gz	09/05/2008 13:55:49	7527937	CEL
File	GSM318432.CEL.gz	09/05/2008 13:55:56	7819066	CEL
File	GSM318433.CEL.gz	09/05/2008 13:56:03	7750929	CEL
File	GSM318434.CEL.gz	09/05/2008 13:56:09	7624851	CEL
File	GSM318435.CEL.gz	09/05/2008 13:56:15	7590245	CEL
File	GSM318436.CEL.gz	09/05/2008 13:56:22	7562468	CEL
File	GSM318437.CEL.gz	09/05/2008 13:56:28	7607690	CEL
File	GSM318438.CEL.gz	09/05/2008 13:56:35	7723618	CEL
File	GSM318439.CEL.gz	09/05/2008 13:56:42	7989586	CEL
File	GSM318440.CEL.gz	09/05/2008 13:56:49	7870499	CEL
File	GSM318441.CEL.gz	09/05/2008 13:56:55	7679967	CEL
